Track Name,Artist,Value,TopPos,TopMonth,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
It's Gotta Be You,Isaiah,1405,60,2,2017,0.433,0.745,8,-4.632,1,0.0377,0.221,0,0.0981,0.588,95.472,193447,4
T-Shirt,Migos,3907,100,5,2017,0.865,0.687,10,-3.744,0,0.217,0.242,0,0.158,0.486,139.023,242407,4
Issues,Julia Michaels,13251,100,7,2017,0.683,0.427,8,-6.827,1,0.0777,0.368,0,0.0604,0.426,113.634,176347,4
Moving On and Getting Over,John Mayer,39,62,1,2017,0.85,0.461,6,-9.018,0,0.0539,0.591,0.0409,0.1,0.628,94.038,265360,4
El Amante,Nicky Jam,8766,100,8,2017,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,219507,4
Touch,Little Mix,3202,100,3,2017,0.607,0.718,4,-4.095,1,0.0978,0.032,0,0.403,0.551,101.821,213307,4
You Don't Know Me - Radio Edit,Jax Jones,7844,17,3,2017,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,213947,4
Vacaciones,Wisin,566,100,1,2017,0.772,0.909,6,-3.225,0,0.166,0.256,0,0.255,0.694,96.031,238800,4
September Song,JP Cooper,3542,100,1,2017,0.623,0.654,0,-5.675,0,0.0372,0.0545,0,0.0838,0.401,95.921,220291,4
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,6325,16,2,2017,0.803,0.743,1,-3.602,0,0.0681,0.105,2.12e-06,0.099,0.674,108.005,203180,4
Scared to Be Lonely,Martin Garrix,12372,10,3,2017,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883,4
So Good (feat. Ty Dolla $ign),Zara Larsson,44,57,1,2017,0.726,0.576,0,-7.341,1,0.146,0.085,0,0.0458,0.783,82.055,166707,4
Get Right Witcha,Migos,22,79,1,2017,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19e-05,0.103,0.62,136.98,257546,4
Call Casting,Migos,16,85,1,2017,0.852,0.727,1,-4.851,1,0.267,0.0962,0,0.154,0.496,130.014,232705,4
Culture (feat. DJ Khaled),Migos,1,100,1,2017,0.825,0.7,11,-5.098,0,0.243,0.0379,0,0.139,0.317,132.996,153558,4
Me Llamas (feat. Maluma) - Remix,Piso 21,415,100,1,2017,0.76,0.838,7,-3.828,0,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,210323,4
Kelly Price (feat. Travis Scott),Migos,16,100,1,2017,0.745,0.685,4,-5.7,0,0.0313,0.53,0,0.176,0.437,121.977,363934,4
History,Olivia Holt,832,100,1,2017,0.76,0.63,1,-6.752,1,0.0582,0.096,0,0.113,0.502,100.977,203992,4
Congratulations,Post Malone,21490,100,2,2017,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,220293,4
No Favors,Big Sean,626,37,2,2017,0.58,0.768,11,-5.482,1,0.386,0.608,1.05e-06,0.342,0.351,124.719,325840,5
Moves,Big Sean,756,47,2,2017,0.789,0.53,2,-6.2,1,0.293,0.0541,0,0.164,0.367,75.515,142907,4
Believer,Imagine Dragons,19475,15,6,2017,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,204347,4
Halfway Off The Balcony,Big Sean,59,74,2,2017,0.529,0.809,8,-6.554,1,0.269,0.36,0,0.242,0.136,125.285,230960,4
Light,Big Sean,14,87,2,2017,0.578,0.608,7,-5.997,0,0.0507,0.831,0,0.108,0.199,84.932,210507,4
Jump Out The Window,Big Sean,27,85,2,2017,0.745,0.714,1,-6.729,1,0.0768,0.147,0,0.132,0.554,136.972,213693,4
Sacrifices,Big Sean,28,79,2,2017,0.77,0.565,10,-7.641,0,0.272,0.284,0,0.257,0.394,141.999,287320,4
Million Reasons,Lady Gaga,291,51,2,2017,0.668,0.449,0,-7.897,1,0.0451,0.477,0,0.107,0.154,129.889,205280,4
That's What I Like,Bruno Mars,16557,10,4,2017,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693,4
Cake - Challenge Version,Flo Rida,134,100,2,2017,0.786,0.854,2,-4.247,1,0.0523,0.0729,1.63e-06,0.179,0.687,105.078,157165,4
Romantic - NOTD Remix,Stanaj,148,83,2,2017,0.746,0.631,8,-7.968,0,0.231,0.218,0,0.222,0.342,104.047,184840,4
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,457,100,2,2017,0.639,0.869,11,-4.024,1,0.147,0.27,0,0.0802,0.767,169.801,307910,4
Chained To The Rhythm,Katy Perry,7012,10,2,2017,0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,237734,4
